"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 07- 14","216.12","216.40","216.67","215.66","91.23M","0.56%"
"2016- 07- 13","214.92","215.44","215.45","214.35","87.32M","-0.01%"
"2016- 07- 12","214.95","214.53","215.30","213.43","101.28M","0.73%"
"2016- 07- 11","213.40","213.19","214.07","212.95","73.63M","0.35%"
"2016- 07- 08","212.65","211.05","212.94","210.78","133.97M","1.49%"
"2016- 07- 07","209.53","209.87","210.65","208.63","85.59M","-0.06%"
"2016- 07- 06","209.66","207.83","209.80","207.06","96.02M","0.60%"
"2016- 07- 05","208.41","208.95","209.08","207.71","109.80M","-0.72%"
"2016- 07- 01","209.92","209.36","210.49","209.29","106.06M","0.21%"
"2016- 06- 30","209.47","207.21","209.54","206.56","165.02M","1.36%"
"2016- 06- 29","206.66","204.84","206.93","204.72","137.33M","1.70%"
"2016- 06- 28","203.20","201.48","203.23","201.12","159.38M","1.80%"
"2016- 06- 27","199.60","201.59","201.60","198.65","248.99M","-1.74%"
"2016- 06- 24","203.13","203.63","210.85","202.72","333.44M","-3.64%"
"2016- 06- 23","210.81","209.81","210.87","209.27","102.73M","1.30%"
"2016- 06- 22","208.10","208.65","209.50","207.93","95.56M","-0.16%"
"2016- 06- 21","208.44","208.30","208.92","207.78","72.46M","0.28%"
"2016- 06- 20","207.85","208.82","209.61","207.75","82.79M","0.64%"
"2016- 06- 17","206.52","207.17","207.20","205.75","117.06M","-0.89%"
"2016- 06- 16","208.37","206.73","208.57","205.59","149.53M","0.30%"
"2016- 06- 15","207.75","208.54","209.36","207.53","109.12M","-0.14%"
"2016- 06- 14","208.04","208.00","208.74","206.92","125.06M","-0.20%"
"2016- 06- 13","208.45","209.36","210.37","208.35","117.75M","-0.77%"
"2016- 06- 10","210.07","210.46","210.86","209.43","113.83M","-0.95%"
"2016- 06- 09","212.08","211.51","212.22","211.19","73.79M","-0.14%"
"2016- 06- 08","212.37","211.84","212.52","211.69","66.17M","0.33%"
"2016- 06- 07","211.68","211.53","212.34","211.50","60.97M","0.16%"
"2016- 06- 06","211.35","210.70","211.77","210.51","64.89M","0.51%"
"2016- 06- 03","210.28","210.25","210.69","208.86","101.76M","-0.30%"
"2016- 06- 02","210.91","209.80","210.93","209.24","63.04M","0.30%"
"2016- 06- 01","210.27","209.12","210.48","208.89","69.94M","0.20%"
"2016- 05- 31","209.84","210.56","210.69","209.18","109.88M","-0.19%"
"2016- 05- 27","210.24","209.53","210.25","209.47","64.21M","0.43%"
"2016- 05- 26","209.34","209.44","209.71","208.97","55.28M","0.03%"
"2016- 05- 25","209.28","208.67","209.77","207.87","79.22M","0.68%"
